YEAR,HOMICIDE,RAPE,ROBBERY,AGG. ASSAULT,B & E,LARCENY-THEFT,M/V THEFT,GRAND TOTAL,PERCENT CHANGE,VIOLENT CRIME TOTAL,VIOLENT CRIME PERCENT (OF TOTAL CRIME),VIOLENT CRIME PERCENT CHANGE,PROPERTY CRIME TOTALS,PROPERTY CRIME PERCENT,PROPERTY CRIME PERCENT CHANGE
1975,435,1288,14104,13251,57936,134001,21192,242207,,29078,12,,213129,88,
1976,352,1327,12247,12322,56351,134337,17772,234708,-3.1,26248,11.2,-9.7,208460,88.8,-2.2
1977,333,1439,12088,14856,57938,131516,17732,235902,0.5,28716,12.2,9.4,207186,87.8,-0.6
1978,338,1476,12828,15686,58901,134012,17599,240840,2.1,30328,12.6,5.6,210512,87.4,1.6
1979,406,1628,13745,17337,62657,145278,20217,261268,8.5,33116,12.7,9.2,228152,87.3,8.4
1980,399,1681,16462,17182,71130,152089,18885,277828,6.3,35724,12.9,7.9,242104,87.1,6.1
1981,422,1663,18095,17691,70762,152544,18486,279663,0.7,37871,13.5,6,241792,86.5,-0.1
1982,431,1596,15377,18845,60547,142903,16719,256418,-8.3,36249,14.1,-4.3,220169,85.9,-8.9
1983,367,1412,14950,18007,52697,127443,15688,230564,-10.1,34736,15.1,-4.2,195828,84.9,-11.1
1984,354,1644,13113,19369,51498,123625,17284,226887,-1.6,34480,15.2,-0.7,192407,84.8,-1.7
1985,350,1711,13276,21425,53168,126193,20265,236388,4.2,36762,15.6,6.6,199626,84.4,3.8
1986,398,1947,13570,21226,55596,132899,24331,249967,5.7,37141,14.9,1,212826,85.1,6.6
1987,444,1894,13363,19597,53226,136863,26419,251806,0.7,35298,14,-5,216508,86,1.7
1988,452,1721,13991,21290,54696,141416,31198,264764,5.1,37454,14.1,6.1,227310,85.9,5
1989,540,1783,15584,22206,52698,136929,31163,260903,-1.5,40113,15.4,7.1,220790,84.6,-2.9
1990,553,2185,17393,23837,53537,147390,33885,278780,6.9,43968,15.8,9.6,234812,84.2,6.4
1991,569,2229,19781,23846,56255,163564,35517,301761,8.2,46425,15.4,5.6,255336,84.6,8.7
1992,596,2280,21054,25110,55521,165236,35657,305454,1.2,49040,16.1,5.6,256414,83.9,0.4
1993,632,2185,21580,25161,56237,163443,33926,303164,-0.7,49558,16.3,1.1,253606,83.7,-1.1
1994,579,2037,20146,24692,52225,168568,38194,306441,1.1,47454,15.5,-4.2,258987,84.5,2.1
1995,596,2130,21331,25699,53311,178086,36176,317329,3.6,49756,15.7,4.9,267573,84.3,3.3
1996,588,1907,19935,24798,50316,175283,36076,308903,-2.7,47228,15.3,-5.1,261675,84.7,-2.2
1997,501,1813,17158,23614,47839,166054,30646,287625,-6.9,43086,15,-8.8,244539,85,-6.5
1998,511,1707,15303,23260,47235,158431,28140,274587,-4.5,40781,14.9,-5.3,233806,85.1,-4.4
1999,492,1482,14124,26105,43629,150020,26067,261919,-4.6,42203,16.1,3.5,219716,83.9,-6
2000,438,1508,13707,26201,39654,146156,28622,256286,-2.2,41854,16.3,-0.8,214432,83.7,-2.4
2001,463,1453,14252,26748,42799,147594,33289,266598,4,42916,16.1,2.5,223682,83.9,4.3
2002,528,1364,13687,26709,39721,144074,35882,261965,-1.7,42288,16.1,-1.5,219677,83.9,-1.8
2003,525,1358,13302,23593,38641,134369,36406,248194,-5.3,38778,15.6,-8.3,209416,84.4,-4.7
2004,521,1316,12761,24339,36682,129786,35858,241263,-2.8,38937,16.1,0.4,202326,83.9,-3.4
2005,552,1266,14378,23173,35921,128483,34070,237843,-1.4,39369,16.6,1.1,198474,83.4,-1.9
2006,547,1178,14375,22011,37457,127500,30522,233590,-1.8,38111,16.3,-3.2,195479,83.7,-1.5
2007,554,1179,13258,21074,37095,127307,28393,228860,-2,36065,15.8,-5.4,192795,84.2,-1.4
2008,493,1127,13203,20571,38849,133983,25340,233566,2.1,35394,15.2,-1.9,198172,84.8,2.8
2009,440,1156,12007,20022,36905,125771,19619,215920,-7.6,33625,15.6,-5,182295,84.4,-8
2010,425,1228,11053,18898,36700,118583,18029,204916,-5.1,31604,15.4,-6,173312,84.6,-4.9
2011,398,1196,10338,16866,35781,114871,16067,195517,-4.6,28798,14.7,-8.9,166719,85.3,-3.8
2012,372,1236,10171,16300,33472,113772,14493,189816,-2.9,28079,14.8,-2.5,161737,85.2,-3
2013,387,1169,10082,16082,31889,112384,13429,185422,-2.3,27720,14.9,-1.3,157702,85.1,-2.5
2014,363,1144,9651,15215,28175,109218,13146,176912,-4.6,26373,14.9,-4.9,150539,85.1,-4.5
2015,553,1758,10150,15850,26741,103566,13564,172182,-2.7,28311,16.4,7.3,143871,83.6,-4.4
2016,534,1815,10814,15828,24822,100876,13847,168536,-2.1,28991,17.2,2.4,139545,82.8,-3
2017,569,1773,11295,17049,23735,99119,13553,167093,-0.9,30686,18.4,5.8,136407,81.6,-2.2
