JURISDICTION,COUNTY,YEAR,POPULATION,MURDER,RAPE,ROBBERY,AGG. ASSAULT,B & E,LARCENY THEFT,M/V THEFT,GRAND TOTAL,PERCENT CHANGE,VIOLENT CRIME TOTAL,VIOLENT CRIME PERCENT,VIOLENT CRIME PERCENT CHANGE,PROPERTY CRIME TOTALS,PROPERTY CRIME PERCENT,PROPERTY CRIME PERCENT CHANGE,"OVERALL CRIME RATE PER 100,000 PEOPLE","OVERALL PERCENT CHANGE PER 100,000 PEOPLE","VIOLENT CRIME RATE PER 100,000 PEOPLE","VIOLENT CRIME RATE PERCENT CHANGE PER 100,000 PEOPLE","PROPERTY CRIME RATE PER 100,000 PEOPLE","PROPERTY CRIME RATE PERCENT CHANGE PER 100,000 PEOPLE","MURDER PER 100,000 PEOPLE","RAPE PER 100,000 PEOPLE","ROBBERY PER 100,000 PEOPLE","AGG. ASSAULT PER 100,000 PEOPLE","B & E PER 100,000 PEOPLE","LARCENY THEFT PER 100,000 PEOPLE","M/V THEFT PER 100,000 PEOPLE"
Aberdeen,Harford,1990,13087,1,1,26,58,236,542,49,913,,86,9.4,,827,90.6,,6976.4,,657.1,,6319.3,,7.6,7.6,198.7,443.2,1803.3,4141.5,374.4
Aberdeen,Harford,1991,13301,0,6,14,80,202,707,60,1069,17.1,100,9.4,16.3,969,90.6,17.2,8037,15.2,751.8,14.4,7285.2,15.3,0,45.1,105.3,601.5,1518.7,5315.4,451.1
Aberdeen,Harford,1992,13432,0,8,18,70,138,552,34,820,-23.3,96,11.7,-4,724,88.3,-25.3,6104.8,-24,714.7,-4.9,5390.1,-26,0,59.6,134,521.1,1027.4,4109.6,253.1
Aberdeen,Harford,1993,13703,0,12,16,112,142,537,31,850,3.7,140,16.5,45.8,710,83.5,-1.9,6203,1.6,1021.7,42.9,5181.3,-3.9,0,87.6,116.8,817.3,1036.3,3918.8,226.2
Aberdeen,Harford,1994,13815,0,3,16,99,117,565,40,840,-1.2,118,14,-15.7,722,86,1.7,6080.3,-2,854.1,-16.4,5226.2,0.9,0,21.7,115.8,716.6,846.9,4089.7,289.5
Aberdeen,Harford,1995,13554,1,12,25,90,107,653,42,930,10.7,128,13.8,8.5,802,86.2,11.1,6861.4,12.8,944.4,10.6,5917,13.2,7.4,88.5,184.4,664,789.4,4817.7,309.9
Aberdeen,Harford,1996,13634,1,3,26,57,130,622,39,878,-5.6,87,9.9,-32,791,90.1,-1.4,6439.8,-6.1,638.1,-32.4,5801.7,-1.9,7.3,22,190.7,418.1,953.5,4562.1,286.1
Aberdeen,Harford,1997,13693,1,11,17,47,102,501,29,708,-19.4,76,10.7,-12.6,632,89.3,-20.1,5170.5,-19.7,555,-13,4615.5,-20.4,7.3,80.3,124.2,343.2,744.9,3658.8,211.8
Aberdeen,Harford,1998,13426,0,2,28,38,97,585,38,788,11.3,68,8.6,-10.5,720,91.4,13.9,5869.2,13.5,506.5,-8.7,5362.7,16.2,0,14.9,208.6,283,722.5,4357.2,283
Aberdeen,Harford,1999,13373,3,3,32,31,111,544,34,758,-3.8,69,9.1,1.5,689,90.9,-4.3,5668.1,-3.4,516,1.9,5152.2,-3.9,22.4,22.4,239.3,231.8,830,4067.9,254.2
Aberdeen,Harford,2000,13842,1,4,39,40,105,614,42,845,11.5,84,9.9,21.7,761,90.1,10.4,6104.6,7.7,606.8,17.6,5497.8,6.7,7.2,28.9,281.8,289,758.6,4435.8,303.4
Aberdeen,Harford,2001,14048,1,7,41,63,113,660,43,928,9.8,112,12.1,33.3,816,87.9,7.2,6605.9,8.2,797.3,31.4,5808.7,5.7,7.1,49.8,291.9,448.5,804.4,4698.2,306.1
Aberdeen,Harford,2002,14264,1,4,61,60,104,709,40,979,5.5,126,12.9,12.5,853,87.1,4.5,6863.4,3.9,883.3,10.8,5980.1,3,7,28,427.7,420.6,729.1,4970.6,280.4
Aberdeen,Harford,2003,14148,0,12,33,46,103,651,31,876,-10.5,91,10.4,-27.8,785,89.6,-8,6191.7,-9.8,643.2,-27.2,5548.5,-7.2,0,84.8,233.2,325.1,728,4601.4,219.1
Aberdeen,Harford,2004,14311,0,4,39,56,122,639,51,911,4,99,10.9,8.8,812,89.1,3.4,6365.7,2.8,691.8,7.6,5674,2.3,0,28,272.5,391.3,852.5,4465.1,356.4
Aberdeen,Harford,2005,14312,0,6,42,111,131,604,67,961,5.5,159,16.5,60.6,802,83.5,-1.2,6714.6,5.5,1111,60.6,5603.7,-1.2,0,41.9,293.5,775.6,915.3,4220.2,468.1
Aberdeen,Harford,2006,14133,1,2,41,58,95,635,62,894,-7,102,11.4,-35.8,792,88.6,-1.2,6325.6,-5.8,721.7,-35,5603.9,0,7.1,14.2,290.1,410.4,672.2,4493,438.7
Aberdeen,Harford,2007,14187,0,4,41,70,98,567,37,817,-8.6,115,14.1,12.7,702,85.9,-11.4,5758.8,-9,810.6,12.3,4948.2,-11.7,0,28.2,289,493.4,690.8,3996.6,260.8
Aberdeen,Harford,2008,13995,0,4,31,64,86,501,37,723,-11.5,99,13.7,-13.9,624,86.3,-11.1,5166.1,-10.3,707.4,-12.7,4458.7,-9.9,0,28.6,221.5,457.3,614.5,3579.8,264.4
Aberdeen,Harford,2009,14003,1,7,36,45,64,471,32,656,-9.3,89,13.6,-10.1,567,86.4,-9.1,4684.7,-9.3,635.6,-10.2,4049.1,-9.2,7.1,50,257.1,321.4,457,3363.6,228.5
Aberdeen,Harford,2010,14198,0,5,35,46,69,527,31,713,8.7,86,12.1,-3.4,627,87.9,10.6,5021.8,7.2,605.7,-4.7,4416.1,9.1,0,35.2,246.5,324,486,3711.8,218.3
Aberdeen,Harford,2011,15101,1,4,34,42,102,458,30,671,-5.9,81,12.1,-5.8,590,87.9,-5.9,4443.4,-11.5,536.4,-11.4,3907,-11.5,6.6,26.5,225.2,278.1,675.5,3032.9,198.7
Aberdeen,Harford,2012,15208,0,7,34,34,92,338,34,539,-19.7,75,13.9,-7.4,464,86.1,-21.4,3544.2,-20.2,493.2,-8.1,3051,-21.9,0,46,223.6,223.6,604.9,2222.5,223.6
Aberdeen,Harford,2013,15039,0,4,20,26,77,413,16,556,3.2,50,9,-33.3,506,91,9.1,3697.1,4.3,332.5,-32.6,3364.6,10.3,0,26.6,133,172.9,512,2746.2,106.4
Aberdeen,Harford,2014,15157,0,9,27,35,59,428,9,567,2,71,12.5,42,496,87.5,-2,3740.8,1.2,468.4,40.9,3272.4,-2.7,0,59.4,178.1,230.9,389.3,2823.8,59.4
Aberdeen,Harford,2015,15551,1,7,28,52,75,234,14,411,-27.5,88,21.4,23.9,323,78.6,-34.9,2642.9,-29.3,565.9,20.8,2077,-36.5,6.4,45,180.1,334.4,482.3,1504.7,90
Aberdeen,Harford,2016,15704,3,8,17,51,41,202,8,330,-19.7,79,23.9,-10.2,251,76.1,-22.3,2101.4,-20.5,503.1,-11.1,1598.3,-23,19.1,50.9,108.3,324.8,261.1,1286.3,50.9
Aberdeen,Harford,2017,15720,0,5,25,44,39,176,6,295,-10.6,74,25.1,-6.3,221,74.9,-12,1876.6,-10.7,470.7,-6.4,1405.9,-12,0,31.8,159,279.9,248.1,1119.6,38.2
Accident,Garrett,1990,349,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,,0,,0,,0,0,0,0,0,0,0
Accident,Garrett,1991,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accident,Garrett,1992,349,0,0,0,4,1,2,0,7,700,4,57.1,400,3,42.9,300,2005.7,2005.7,1146.1,1146.1,859.6,859.6,0,0,0,1146.1,286.5,573.1,0
Accident,Garrett,1993,349,0,0,0,0,0,4,0,4,-42.9,0,0,-100,4,100,33.3,1146.1,-42.9,0,-100,1146.1,33.3,0,0,0,0,0,1146.1,0
Accident,Garrett,1994,349,0,0,0,0,1,1,1,3,-25,0,0,0,3,100,-25,859.6,-25,0,0,859.6,-25,0,0,0,0,286.5,286.5,286.5
Accident,Garrett,1995,349,0,0,0,0,1,2,0,3,0,0,0,0,3,100,0,859.6,0,0,0,859.6,0,0,0,0,0,286.5,573.1,0
Accident,Garrett,1996,349,0,0,0,0,1,9,0,10,233.3,0,0,0,10,100,233.3,2865.3,233.3,0,0,2865.3,233.3,0,0,0,0,286.5,2578.8,0
Accident,Garrett,1997,349,0,0,0,2,1,2,0,5,-50,2,40,200,3,60,-70,1432.7,-50,573.1,573.1,859.6,-70,0,0,0,573.1,286.5,573.1,0
Accident,Garrett,1998,349,0,0,0,0,0,2,0,2,-60,0,0,-100,2,100,-33.3,573.1,-60,0,-100,573.1,-33.3,0,0,0,0,0,573.1,0
Accident,Garrett,1999,349,0,0,0,0,1,1,0,2,0,0,0,0,2,100,0,573.1,0,0,0,573.1,0,0,0,0,0,286.5,286.5,0
Accident,Garrett,2000,353,0,0,0,1,0,0,0,1,-50,1,100,100,0,0,-100,283.3,-50.6,283.3,283.3,0,-100,0,0,0,283.3,0,0,0
Accident,Garrett,2001,353,0,0,0,0,2,4,0,6,500,0,0,-100,6,100,600,1699.7,500,0,-100,1699.7,1699.7,0,0,0,0,566.6,1133.1,0
Accident,Garrett,2002,353,0,0,0,0,1,3,1,5,-16.7,0,0,0,5,100,-16.7,1416.4,-16.7,0,0,1416.4,-16.7,0,0,0,0,283.3,849.9,283.3
Accident,Garrett,2003,353,0,0,0,1,2,4,1,8,60,1,12.5,100,7,87.5,40,2266.3,60,283.3,283.3,1983,40,0,0,0,283.3,566.6,1133.1,283.3
Accident,Garrett,2004,353,0,0,0,0,0,1,0,1,-87.5,0,0,-100,1,100,-85.7,283.3,-87.5,0,-100,283.3,-85.7,0,0,0,0,0,283.3,0
Accident,Garrett,2005,353,0,0,0,0,1,3,0,4,300,0,0,0,4,100,300,1133.1,300,0,0,1133.1,300,0,0,0,0,283.3,849.9,0
Accident,Garrett,2006,353,0,0,0,0,1,3,0,4,0,0,0,0,4,100,0,1133.1,0,0,0,1133.1,0,0,0,0,0,283.3,849.9,0
Accident,Garrett,2007,337,0,0,0,2,4,3,0,9,125,2,22.2,200,7,77.8,75,2670.6,135.7,593.5,593.5,2077.2,83.3,0,0,0,593.5,1186.9,890.2,0
Accident,Garrett,2008,332,0,0,0,1,0,3,0,4,-55.6,1,25,-50,3,75,-57.1,1204.8,-54.9,301.2,-49.2,903.6,-56.5,0,0,0,301.2,0,903.6,0
Accident,Garrett,2009,332,0,0,0,1,1,1,1,4,0,1,25,0,3,75,0,1204.8,0,301.2,0,903.6,0,0,0,0,301.2,301.2,301.2,301.2
Accident,Garrett,2010,325,0,0,0,0,1,0,0,1,-75,0,0,-100,1,100,-66.7,307.7,-74.5,0,-100,307.7,-65.9,0,0,0,0,307.7,0,0
Accident,Garrett,2011,325,0,0,0,0,2,2,0,4,300,0,0,0,4,100,300,1230.8,300,0,0,1230.8,300,0,0,0,0,615.4,615.4,0
Accident,Garrett,2012,325,0,0,0,1,1,0,1,3,-25,1,33.3,100,2,66.7,-50,923.1,-25,307.7,307.7,615.4,-50,0,0,0,307.7,307.7,0,307.7
Accident,Garrett,2013,321,0,0,0,0,1,1,1,3,0,0,0,-100,3,100,50,934.6,1.2,0,-100,934.6,51.9,0,0,0,0,311.5,311.5,311.5
